Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Make_Model
20001206X00612,Accident,CHI94LA074,1994-01-31,"ANDERSON, IN",United States,,,AID,ANDERSON MUNICIPAL,Non-Fatal,Substantial,,N907Z,Douglas,DC3C,No,2.0,Reciprocating,,NSCH,Unknown,Miami Valley Aviation,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,07-12-1994,Douglas DC3C
20001206X00798,Accident,MIA94LA065B,1994-02-03,"ST. PETERSBURG, FL",United States,,,SPG,ALBERT WHITTED,Non-Fatal,Substantial,,N72074,Cessna,U-206,No,1.0,Reciprocating,,NSCH,Unknown,Red Barron Aviation,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,18-11-1994,Cessna U-206
20001206X00815,Accident,SEA94LA058,1994-02-06,"BILLINGS, MT",United States,,,BIL,BILLINGS,Non-Fatal,Substantial,,N2718Y,Cessna,402C,No,2.0,Reciprocating,,SCHD,Unknown,Big Sky Transportation (dba: Big Sky Airlines),0.0,0.0,0.0,5.0,VMC,Landing,Probable Cause,26-01-1995,Cessna 402C
20001206X00816,Accident,SEA94LA059,1994-02-08,"HAVRE, MT",United States,,,HVR,HAVRE CITY-CO,Non-Fatal,Substantial,,N5520A,Cessna,T210N,No,1.0,Reciprocating,,NSCH,Unknown,Morrison Flying Service,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,26-01-1995,Cessna T210N
20001206X00690,Accident,ANC94LA031,1994-02-08,"KWIGILLINGOK, AK",United States,,,AK85,KWIGILLINGOK,Non-Fatal,Substantial,,N6470H,Cessna,207,No,1.0,Reciprocating,,SCHD,Unknown,(dba: Yute Air Alaska),0.0,0.0,0.0,6.0,VMC,Approach,Probable Cause,12-01-1995,Cessna 207
20001206X00827,Incident,ANC94IA037,1994-03-04,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE INTERNATIONAL,Incident,Minor,,B-160,Boeing,747-200F,No,4.0,Turbo Fan,,NSCH,Unknown,China Airlines (dba: Cal),0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,25-01-1995,Boeing 747-200F
20001206X00897,Accident,FTW94LA092,1994-03-07,"HAYDEN, CO",United States,,,,,Non-Fatal,Substantial,,N5938K,Rockwell,690C,No,2.0,Turbo Prop,,NSCH,Unknown,Casper Air Service,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,14-11-1994,Rockwell 690C
20001206X00934,Accident,LAX94LA163,1994-03-12,"PHOENIX, AZ",United States,,,PHX,PHOENIX SKY HARBOR INT.,Non-Fatal,Substantial,,N78CH,Rockwell,681,No,2.0,Turbo Prop,,NSCH,Unknown,American Corp Aviation,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,18-11-1994,Rockwell 681
20001206X01011,Accident,SEA94LA089,1994-03-21,"GILLETTE, WY",United States,,,GCC,GILLETTE - CAMPBELL,Non-Fatal,Substantial,,N9415S,Beech,95-C55,No,2.0,Reciprocating,,NSCH,Unknown,Northern Co Air Charter,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,02-12-1994,Beech 95-C55
20001206X01018,Accident,ANC94LA046,1994-04-08,"MANLEY HOT SPRG, AK",United States,,,,,Non-Fatal,Substantial,,N42DC,Helio,295,No,1.0,Reciprocating,,NSCH,Unknown,"Wright Air Service, Inc.",0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,25-01-1995,Helio 295
20001206X01017,Accident,ANC94LA045,1994-04-09,"VALDEZ, AK",United States,,,,,Non-Fatal,Substantial,,N87594,Hiller,UH12E,No,1.0,Reciprocating,,NSCH,Unknown,"Iverson, Peter B. (dba: Pete's Aviation Services, Inc.)",0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,25-01-1995,Hiller UH12E
